id;phone;role;date_inscription
1;(919) 297-9068 x500;AGRICULTEUR;2025-05-01T11:57:15
2;1-354-914-8830;ADMIN;2025-05-01T00:06:39
3;(393) 373-4553 x241;ADMIN;2025-05-01T03:14:41
4;1-941-567-7751 x80001;TRANSPORTEUR;2025-05-01T06:32:29
5;1-702-314-8292;ADMIN;2025-05-01T06:16:58
6;1-404-356-9288 x88167;ORGANISATION;2025-05-01T00:16:23
7;391.757.3099 x9567;ORGANISATION;2025-05-01T04:37:18
8;248.304.2061 x52665;AGRICULTEUR;2025-05-01T03:58:47
9;607-496-1233;TRANSPORTEUR;2025-05-01T11:38:42
10;805-771-4832 x050;CONSOMMATEUR;2025-05-01T10:39:37
